,questions,types
17634,Which active services years ended in death and had senior status in 1972–2005?,0
17635,Which date featured the Boston Patriots as the opponent?,0
17636,Who was the opponent during week 8?,0
17637,"What opponent had an attendance of 12,508 during weeks 1 through 8?",0
17638,"What week had an attendance of 14,381?",5
17639,Which round was Dave Yovanovits picked?,2
17640,Where did the player picked for the linebacker position play in college?,0
17641,What country had a 1966-70 rate of -100 and a 1991-95 rate of -7.36%?,0
17642,What was the 1971-75 rate for the country that has a 1986-90 rate of -5.28%?,0
17643,What was the 2001-05 rate for the country that had 1981-85 rate of -3.48%?,0
17644,What was the 1976-80 rate for the country that had 1991-95 rate of -0.43%,0
17645,What was the 2001-05 rate for the country that had the 1981-85 rate of 0.38%?,0
17646,Who did the Browns play week 12?,0
17647,What was the attendance in the game against the Detroit Lions?,0
17648,Who played as the away team when they played at Brunswick Street Oval?,0
17649,Who was the home team when the VFL played Arden Street Oval?,0
17650,Who is the away side at junction oval?,0
17651,Who was the winning driver of the Kraco Car Stereo 150?,0
17652,What time was the fastest lap during Stoh's 200 in 1982?,0
17653,What is the date for the player who debuted later than 1972 against Limerick?,0
17654,Which player debuted in 1973 against Limerick and played his last game at the Munster semi-final?,0
17655,What date had a Result of l 23–17 in a week later than 7?,0
17656,How many people attended the game against the cincinnati bengals?,3
17657,What was the attendance for the game played at 3:31?,0
17658,What was the time for game 4?,0
17659,What venue featured a home score of 8.9 (57)?,0
17660,What was the away team's score at western oval?,0
17661,How many games featured a home team scoring 12.18 (90)?,3
17662,"Before 2007, how many wins were there when the point total was 48?",4
17663,"In 2011, how many wins did Michael Meadows have?",4
17664,What is the service of the network Set Max from India?,0
17665,Which network's genre is music?,0
17666,What genre is Star Plus from India?,0
17667,Where does the network Star Cricket originate?,0
17668,What genre is Set Max's Hindi programming?,0
17669,What is fitzroy's score as the home team?,0
17670,What is the listed crowd when the home team's score is 9.7 (61)?,0
17671,What is richmond's score as the home team?,0
17672,When was the game where the away team had a score of 5.14 (44)?,0
17673,Who was the color commentator for Eric Dickerson and Melissa Stark in 2001?,0
17674,"What network hosted Al Michaels, Dan Fouts and Dennis Miller in 2002?",0
17675,Who was the 2004 color commentator?,0
17676,Who was the color commentator for Andrea Kremer and Tiki Barber?,0
17677,Who was Al Michaels' color commentator in 2003?,0
17678,Who was the home team when Geelong was the away team?,0
17679,Where was the game when the home team scored 25.17 (167)?,0
17680,What was the away team's score when home team Carlton scored 15.16 (106)?,0
17681,What is the highest overall pick from the College of Southern Mississippi that was selected before round 6?,1
17682,"Who, was the coach with an actual adjusted record of 0–19?",0
17683,"What is the average Season for coach Fisher, and an actual adjusted record of 0–11?",5
17684,What is the regular season vacated for the Record as played of 12–19?,0
17685,How many seasons did coach steve fisher have?,3
17686,What is shown for Record as played with a Regular season Vacated of 24–0 later than 1997?,0
17687,How many seasons have an Actual adjusted record of 0–19?,3
17688,"How many gold(s) for teams with a total of 14, and over 6 bronze medals?",4
17689,What is the highest number of gold medals for the team ranked 7 with less than 3 bronze?,1
17690,"What is the average number of golds for nations with less than 2 silver, named uzbekistan, and less than 4 bronze?",5
17691,What was the away team for the match at Punt Road Oval?,0
17692,What was the home team that scored 5.7 (37)?,0
17693,What was the smallest crowd size for the match played at Junction Oval?,2
17694,What was the home team that scored 12.21 (93)?,0
17695,What was the home team that played Collingwood?,0
17696,What was the sum of the crowd sizes when the home team scored 9.17 (71)?,4
17697,Which province has Michael Kirby?,0
17698,Which party is Madeleine Plamondon a member of?,0
17699,What are the details for Marisa Ferretti Barth?,0
17700,"Which party had a member on August 26, 2008?",0
17701,What are the details for John Buchanan?,0
17702,"Which province had a liberal party member on December 31, 2006?",0
17703,Which dance style had a draw smaller than 15 and 18 points?,0
17704,What was the away team when the home team scored 16.19 (115)?,0
17705,What was the away team's score for the match played at Victoria Park?,0
17706,What was the venue where the home team scored 10.15 (75)?,0
17707,What is Collingwood's home venue?,0
17708,What was the away teams score when they played Carlton?,0
17709,What is the latest year featuring candace parker?,1
17710,What is the largest crowd when north melbourne is the home side?,1
17711,Who is the away team when the home team scores 10.17 (77)?,0
17712,What venue features a home team scoring 12.12 (84)?,0
17713,What home team scores 12.12 (84)?,0
17714,What is the smallest crowd at victoria park?,2
17715,What day was geelong the away side?,0
17716,What away team scored 14.5 (89)?,0
17717,What is the name of the stadium in Brisbane?,0
17718,What was the result of the match that had a score of 58-6?,0
17719,What was the score for the match that had the result of Hunter Mariners def. Castleford Tigers?,0
17720,"For the match ending in a score of 66-20, what was the stadium?",0
17721,In what city is the Don Valley Stadium located?,0
17722,Which championship was the 100m backstroke performed?,0
17723,What event has a time of 7:45.67?,0
17724,What nationality has a year larger than 2009 with a position of power forward?,0
17725,Who plays for the chicago bulls?,0
17726,What are the main places for the streymoy region with an area of larger than 6.1?,0
17727,What is the sum of people per km2 for the sandoy region with an area of 112.1?,4
17728,"what is the week there were 41,604 people in attendance?",5
17729,What is the average crowd size for games with hawthorn as the home side?,5
17730,What is the home team's score at glenferrie oval?,0
17731,Who had the lowest Best time that also had a Qual 2 of 49.887?,2
17732,What was CTE Racing-hvm's Best with a Qual 2 of 50.312?,0
17733,What was the average crowd size for the game where the away team scored 10.11 (71)?,5
17734,Which Away team had a score of 18.8 (116)?,0
17735,What was the home team score when essendon was the away team?,0
17736,When richmond was the Away team what was the score of the home team?,0
17737,Which service does the network of atn urdu offer?,0
17738,"Whose origin of Programming offers a general genre, a network of ntv bangla and a service of cogeco cable?",0
17739,"Which service has a hindi language, general genre and zee tv network?",0
17740,"Which network has an origina of Programming in India, a general genre, a service of bell fibe tv, and tamil as its language?",0
17741,"Which language has Programming from India, general genre, a network of ptc punjabi and bell fibe tv service?",0
17742,What is the average number of bronzes when the rank is below 11 for trinidad and tobago with less than 1 total medal?,5
17743,"What is the sum of gold medal totals for nations with 1 silver, less than 2 bronze, and ranked below 10?",4
17744,Who did Winfield Scott have an allegiance with?,0
17745,What was the July 2013 population estimate of the location which had a population density larger than 14.1?,3
17746,"What was the lowest rank of an area with a 2011 Census population larger than 3,645,257, a House of Commons seat percentage of 11.7% and a July 2013 population estimate over 4,581,978?",2
17747,What was the highest rank of an area with a population density larger than 5.7 and a 2006–2011 percentage growth of 5.7%?,1
17748,"What was the lowest 2011 Census population of an area with a land area larger than 908,607.67 km²?",2
17749,Which rider from the 1971 Isle of Man Junior TT 250cc final standings had a speed equal to 86.15mph?,0
17750,Which rider had a points score equal to 10?,0
17751,"Which Start has a 0 Conv, 0 Pens and 8 Tries?",0
17752,Which Player has 0 Pens and 12 Starts?,0
17753,Which Start has 8 Tries and 0 Convs?,0
17754,Who was the away team for the game at Victoria Park?,0
17755,What was round 7's lowest overall?,2
17756,Who had the smallest overall under 22?,0
17757,What was Cal State-Los Angeles' position with an Overall above 22?,0
17758,Who played for Memphis State?,0
17759,What is the largest crowd for the St Kilda as the away team?,1
17760,What was the crowd size when Essendon was the home team?,0
17761,"Which venue had a crowd larger than 20,000?",0
17762,Which away team played at Lake Oval?,0
17763,"On what date was the crowd more numerous than 10,800 when the home team score was 7.13 (55)?",0
17764,What is the total number of the crowd at Glenferrie Oval?,3
17765,The Western Oval venue has what date?,0
17766,What is the kickoff time for the Miami Dolphins?,0
17767,What was the final of the New England Patriots game?,0
17768,"What is the largest attendance on august 10, 1963, and a week larger than 1?",1
17769,What date was the game when the away team scored 9.5 (59)?,0
17770,Where was the game played when the home team scored 17.7 (109)?,0
17771,What was the score of the away team when the home team was south melbourne?,0
17772,What is the smallest crowd at princes park?,2
17773,What is the highest ranked nation with 15 silver medals and no more than 47 total?,1
17774,What was the highest rank by average of a couple who had an average of 25.3 and had more than 10 dances?,1
17775,What is the example with the associative type?,0
17776,What is the Suffix of the intensive and valency change of 0?,0
17777,WHat is the Valency change of associative type?,0
17778,Who is the home team when hawthorn is the away side?,0
17779,Who is the away side that scores 9.8 (62)?,0
17780,What is the largest crowd that has the away side scoring 10.14 (74)?,1
17781,What was the away team that played at Windy Hill?,0
17782,What was the home team at the match when the away team scored 6.14 (50)?,0
17783,"What was the away team at the match where the crowd was larger than 30,000?",0
17784,What is the venue when the away side scores 11.20 (86)?,0
17785,What is the smallest crowd when richmond is away?,2
17786,What is melbourne's home team score?,0
17787,Who is the color commentator in 2008?,0
17788,Which member of the National Party is from the Hinkler electorate?,0
17789,Which member is from the state of SA and the grey electorate?,0
17790,In which state is the Petrie electorate?,0
17791,What round was the draft pick of tight end with an Overall larger than 21?,3
17792,Which player is a wide receiver picked in round 7?,0
17793,What is the name of the running back pick?,0
17794,When did the VFL pay at Victoria Park?,0
17795,When did South Melbourne play as the away team?,0
17796,What was home team Essendon's opponents score?,0
17797,What date did the home team have a score of 9.18 (72)?,0
17798,What did the away team score when the home team scored 9.18 (72)?,0
17799,When was The Love Eterne released?,0
17800,How many heats had 5 lanes and a rank less than 110 for the nationality of Honduras?,3
17801,"How many heats had 2 lanes, a rank above 75, and nationality of Madagascar?",3
17802,What is the sum of every heat for the nationality of Macedonia with a rank less than 114?,4
17803,What was the least number of heats with more than 8 lanes for the Nationality of Germany?,2
17804,When the VFL played Victoria Park what was the home team score?,0
17805,What driver has over 19 points and a grid of over 2?,0
17806,What was the score for the away team when geelong was the home team?,0
17807,What was the score of the home team when they played footscray?,0
17808,Where was the game played when the away team scored 9.14 (68)?,0
17809,What was the score for the home team of essendon?,0
17810,What was the score for the Essendon home team?,0
17811,What was the smallest crowd for the Richmond home team?,2
17812,What was the largest crowd at the Brunswick Street Oval?,1
17813,Who was the home team when VFL played at Windy Hill?,0
17814,What was the attendance when the VFL played Glenferrie Oval?,4
17815,What was the attendance when North Melbourne was the away team?,5
17816,When did Essendon play as the home team?,0
17817,Can you give me the age of the Virtues of Wisdom?,0
17818,What Virtue looks at the intimacy vs. isolation crisis?,0
17819,Can you give me the age of the Significant Relationship of Family?,0
17820,The Significant Relationship of Parents belongs with what Virtue?,0
17821,Who is the away side at windy hill?,0
17822,Who is the home side when the away side scores 11.15 (81)?,0
17823,How many drafts featured fred hoaglin?,3
17824,What round did the player from delta st. get picked?,0
17825,What is the highest overall number for someone from round 16?,1
17826,What was the average crowd size when Melbourne was the home team?,5
17827,What was North Melbourne's score when they were the home team?,0
17828,What is in the ninth position where the tenth position is rabat ajax?,0
17829,In what year is the tenth position xghajra?,0
17830,In what year is the 9th position balzan?,0
17831,"Where there is a tenth position of gozo, what is the first position?",0
17832,In what year is the 9th position rabat ajax?,0
17833,What was Hawthorn's score as the away team?,0
17834,Who was the away team that scored 7.6 (48)?,0
17835,Who was the away team at the game at Lake Oval?,0
17836,Who was the home team that scored 8.7 (55)?,0
17837,"Who was the away team at the game at Punt Road Oval with a crowd larger than 13,000?",0
17838,"Which stadium held the game that 65,677 people attended?",0
17839,"What was the attendance of the game on October 17, 2004?",0
17840,"Which week was the October 17, 2004 game played?",0
17841,What was the Browns record after they played the game at the Paul Brown stadium?,0
17842,Which player went to Gonzaga?,0
17843,What is the nationality of the forward/center who started playing in 1951?,0
17844,What school did the guard who began playing in 1991 come from?,0
17845,What is the nationality of the guard/forward who began playing in 1977?,0
17846,Which Rams opponent had a record of 2-3?,0
17847,What is the number of podiums for the races of 13/15?,0
17848,How many wins are there for the Races of 12/12?,0
17849,What is the fastest lap for a season smaller than 1979?,0
17850,"For the 12/12 races, what is the fastest lap?",0
17851,"What is the name of the home team that played at The Brunswick Street Oval to a crowd of 7,000?",0
17852,What was the largest crowd where Carlton was the away team?,1
17853,Which team's home is the Western Oval?,0
17854,Which team's home is the Arden Street Oval?,0
17855,What was the lowest attendance at a Fitzroy match?,2
17856,What is the highest rank that corresponds to an all-time rank of 86 and a debut year before 1995?,1
17857,What is the current club with more than 368 apps and a debut year earlier than 1994?,0
17858,"What is the highest rank with more than 498 apps, an all time rank of 6, and a debut year later than 1992?",1
17859,What is the all-time rank associated with a rank less than 9 and a debut in 1994?,0
17860,"Which tournament was played on clay and there was a score of 4–6, 6–1, 6–4?",0
17861,What is the score for the match where albert montañés was the partner?,0
17862,What is the score for the match where the opponent in the final was james cerretani todd perry?,0
17863,What is the date when the opponent in the final is gastón etlis martín rodríguez?,0
17864,What was the score for the match were the opponent in the final was james cerretani todd perry?,0
17865,Who is Birmingham City's outgoing manager?,0
17866,What is the name of the replacement manager for the Bolton Wanderers?,0
17867,How was Sammy Lee's team doing on the table before being replaced?,0
17868,Which team hired Gary Megson as the replacement manager?,0
17869,What was the date of the match played at MCG?,0
17870,What was Carlton's score as the home team?,0
17871,What home team plays at Princes Park?,0
17872,What was Geelong's score as the home team?,0
17873,What was the away team that scored 12.8 (80)?,0
17874,"What was the home teams score when the away team scored 11.11 (77) in front of a crowd of 16,112?",0
17875,ON WHAT DATE DID THE HOME TEAM SCORE 12.16 (88)?,0
17876,WHAT WAS COLLINGWOOD'S LOWEST CROWD NUMBER WHEN PLAYING AS THE AWAY TEAM?,2
17877,WHAT WAS ESSENDON'S HIGHEST CROWD NUMBER WHEN PLAYING AS THE AWAY TEAM?,1
17878,WHAT VENUE HAD AN AWAY TEAM SCORE OF 12.15 (87)?,0
17879,WHAT DID HAWTHORN SCORE AT ITS AWAY GAME?,0
17880,"Who was the opponent on November 26, 1989?",0
17881,"What was the result on October 29, 1989?",0
17882,"What was the result on October 1, 1989?",0
17883,What is the highest number of losses that a team who had an away record of 1-6 and more than 4 wins had?,1
17884,What is the home team's score at corio oval?,0
17885,What network is in the language of Bengali?,0
17886,"What network has an origin in India, a genre of general, and broadcasts in Bengali?",0
17887,What language does the Ary Digital network broadcast in?,0
17888,What is the average crowd for Carlton?,5
17889,How many points did Carlton score?,0
17890,What was the largest crowd for North Melbourne,1
17891,What is the score for Footscray?,0
17892,What is the result of week 5?,0
17893,What is the name of the gun with a shoulder that measures 10.688 (.420)?,0
17894,What is the shoulder measurement of the gun with a length of 57.85 (2.278)?,0
17895,What is the neck measurement of the gun with a shoulder measurement of 10.688 (.420)?,0
17896,What is the length of the gun that has a shoulder measurement of 12.18 (.480)?,0
17897,What bullet does the gun with a shoulder measurement of 12.5 (.491)?,0
17898,"What was the attendance for the game held on September 18, 1994, with a week less than 5?",0
17899,What was the average attendance when the opponent was at Philadelphia Eagles and the week was later than week 6?,5
17900,"What was the attendance for the game on October 30, 1994 for a week after week 2?",3
17901,"What is the title of the episode that aired on September 25, 2005?",0
17902,"What is the run time of the episode that aired on September 4, 2005?",0
17903,"What is the historical reference of the episode that aired on October 23, 2005?",0
17904,"What is the date of the episode that is before 307, run time equals 5:48 and has P.T. Barnum as the topic?",0
17905,What is the topic of the episode that runs 6:07?,0
17906,"What is the episode number of the episode that aired on August 8, 2005?",0
17907,What is the biggest crowd when the home side scores 7.7 (49)?,1
17908,What day is south melbourne the away side?,0
17909,Whom is the away team when the home team score is 11.12 (78)?,0
17910,Did the fighter beat Ryo Takigawa?,0
17911,"What is the incident number of the incident that occurred in Dantewada, Chattisgarh?",0
17912,WHich province has an IATA of UYN?,0
17913,Which city has an ICAO of ZSXZ?,0
17914,Which province is Luogang International Airport located in?,0
17915,WHich province has an IATA of WNZ?,0
17916,What is the IATA for Korla Airport.,0
17917,In what division did they place 4th?,0
17918,What was the top scorer in the 1890-91 season?,0
17919,Which position has a player at Arizona state?,0
17920,"Which school/club has a pick smaller than 196, a round higher than 5 and has Blake Miller?",0
17921,What is the average round at which is the position of Tight End and Randy Bethel?,5
17922,What day did they play the New Orleans Saints?,0
17923,Which coach has a conference record of 42-78?,0
17924,In what years was the conference record 18-15?,0
17925,"In what years, when the conference record was 63-9, was the coach Walter Meanwell?",0
17926,What was coach Dick Bennett's overall win percentage?,0
17927,What are the notes for the shirt that said Pavv before 2005?,0
17928,What are the notes for the shirt that said Pavv after 2007?,0
17929,What is the average of all the years when the notes are “electronics brand?”,5
17930,What are the notes for the shirt that says 名品+1 in the kit supplied by Rapido?,0
17931,What is the largest crowd at Lake Oval?,1
17932,"What was the home team for the game with more than 25,000 crowd?",0
17933,What was the score for Footscray when they were the away team?,0
17934,"What is the result from March 14, 2007?",0
17935,"How many goals have a result of 0-1 on march 28, 2007?",3
17936,What venue has a Result of 3-0?,0
17937,when the 1st player has a choice of bb r what is the 2nd player's probability of winning?,0
17938,When the 2nd player's choice is r bb what is the probability the 1st player wins 0.11%?,0
17939,"When the 2nd player chooses r bb, what is the 2nd player's probability of a winning draw of 93.54%?",0
17940,What was Collingwood's score as the home team?,0
17941,What was the home team when the away team scored 4.9 (33)?,0
17942,What was the average crowd size when teh home team scored 13.24 (102)?,5
17943,What venue features carlton as the home side?,0
17944,What day is collingwood the home side?,0
17945,What is the away team's score when hawthorn is away?,0
17946,Who is the home side when the away side score is 8.8 (56)?,0
17947,The event that has a record of 1-0 is none of the above.,0
17948,What year was Leon Blevins picked?,4
17949,What year was Jordan Hill picked overall number 8?,2
17950,In 1981 which team picked overall 148?,0
17951,What is the place of the team that had a total score larger than 37 and a week one score above 20?,2
17952,"How many people attended the game on December 2, 1951?",0
17953,"After week 9, which games had an attendance greater than 24,229?",0
17954,What venue does st kilda play at as the away team?,0
17955,What is melbourne's home team score?,0
17956,How many games is collingwood the home side?,3
17957,"Who was the opponent on the date of November 29, 1970 and the attendance was less than 31,427?",5
17958,On what date was the game where is was later than Week 4 of the season and the opponent was the New York Giants?,0
17959,"What was the attendance of the game on December 13, 1970?",3
17960,What is the date before week 13 and Miami Dolphins as an opponent?,0
17961,What is the attendance for week 11?,0
17962,What is the average crowd size when the home side scores 8.9 (57)?,5
17963,What is the home team's score for north melbourne?,0
17964,What is the average crowd size when the home team scores 16.9 (105)?,5
17965,Who sponsors Josele Garza in all rounds?,0
17966,Which rounds did the team Walther participate in?,0
17967,What team was Tom Sneva on in rounds 1-9?,0
17968,Which rounds do Arciero Wines sponsor a March 85c chassis?,0
17969,What years were the inactive North Carolina chapter active?,0
17970,What years were the inactive Idaho chapter active?,0
17971,Which chapter was active from 1906-1991?,0
17972,What are the active dates for the Montana State University chapter?,0
17973,What state had an active chapter from 1906-1991?,0
17974,How many people were at the game with a record of 6-1?,0
17975,When was there a game against the Indianapolis colts?,0
17976,What is the lowest crowd size at MCG?,2
17977,What is the away team name that has a score of 7.10 (52)?,0
17978,What is the average crowd size when the home team is North Melbourne?,5
17979,What is the away team score when the home team is North Melbourne?,0
17980,What is the pole position for marlboro challenge?,0
17981,What circut has an unknown fastest lap on July 19?,0
17982,What circuit did marlboro team penske win with an unknown fastest lap?,0
17983,What team does mario andretti play pole position for?,0
17984,What was the venue where Carlton was the away team?,0
17985,What was the venue where the home team scored 13.9 (87)?,0
17986,What was the away team whose opponents scored 8.16 (64)?,0
17987,What was the venue when Carlton was the away team?,0
17988,What was the highest heat with a time slower than 48.87 from sweden?,1
17989,"How many lanes featured a swimmer ranked above 4, in a heat later than 1, from australia, named ashley callus?",3
17990,What is the Eurozone result for Population M (LUZ) of 3.08?,0
17991,What is the GDP $IDB in Istanbul?,0
17992,What is the most recently founded school that joined in 2011?,1
17993,"What was the home team that scored 24.14 (158) in front of a crowd larger than 18,000?",0
17994,What was the home team that played Geelong?,0
17995,What was the home team's score when they played Richmond?,0
17996,What is Melbourne's home venue?,0
17997,What was the venue when the away team scored 9.17 (71)?,0
17998,What was the overall draft pick for the player selected for the tight end position?,0
17999,Which home team corresponds to an away team score of 10.12 (72)?,0
18000,On what date is Hawthorn the home team?,0
18001,On what date is St Kilda the away team?,0
18002,"Who did the Browns play on October 13, 1968?",0
18003,Which game is named tsegay kebede category:articles with hcards?,0
18004,Which event in the 2000 Sydney games was in the category gete wami category:articles with hcards?,0
18005,Which event in the 2008 Beijing Games had a bronze medal?,0
18006,What is the medal named fatuma roba category:articles with hcards for?,0
18007,What is the game named derartu tulu category:articles with hcards?,0
18008,What is the fastest time for the Kentucky Derby race?,0
18009,Which track does the Woodward Stakes race take place on?,0
18010,What grade did jockey Robby Albarado get when racing with Ravens Pass?,0
18011,In which Age Category is Marco Manenti?,0
18012,Which year has a Time of 13:23:43?,0
18013,What score has 3-7 as the record?,0
18014,"What loss has 16,458 as an Att.?",0
18015,"What date has 5-3 as the score, and holt (1-1) as a loss?",0
18016,What is the sector of the company with an incorporated date before 1983?,0
18017,What is the average incorporataed year of the Air India Charters company?,5
18018,How many votes were tallied in 1956 with a % of national vote larger than 11.47?,4
18019,"How many candidates were nominated in 1952 with under 305,133 votes?",4
18020,"How many votes were tallied with a % of national vote of 13.11, and over 39 candidates nominated?",3
18021,Who is the visitor with a record of 14–17–5?,0
18022,How many in attendance when Penguins were home with a record of 14–19–6 with less than 34 points?,3
18023,Which Format has a Catalog of 561 445-1?,0
18024,Which Region has a Date of early september 1999?,0
18025,Which Region has a Date of early september 1999?,0
18026,What was the date of the game with a loss of White (4-5)?,0
18027,what score has a location and attendance of montreal forum and the date of may 10?,0
18028,Which Interview has a Province of monte cristi and a Swimsuit larger than 7.27,4
18029,WHich Evening Gown has a Swimsuit smaller than 7.99 and a Interview larger than 7.98?,5
18030,"Which Interview has a Swimsuit larger than 7.6, and a Province of la vega, and an Average smaller than 8.38?",4
18031,Which items in segment A have a segment D of marble sculptures?,0
18032,Which segment A also has a segment D of kitchen shears?,0
18033,Which items in segment C is episode 160?,0
18034,"Which season last aired on May 6, 1987?",0
18035,What is the Nielsen ranking for Season 8?,0
18036,What was the first airdate or the season that had less than 24 episodes and a Nielsen ranking of #38?,0
18037,"How many episodes were in the season that first aired on September 22, 1989?",0
18038,"How many episodes were in the season that ended on April 29, 1986?",5
18039,Where the ship is Dahlgren what is the build as?,0
18040,"Where the NRV link is CGN38, what is the reclassified as?",0
18041,"Where the built as is DLG-23, what is the class?",0
18042,What is the Total medals won by the nation in Rank 6 with less than 2 Bronze medals?,4
18043,How many Gold medals were won by the Nation that had more than 12 Bronze medals and less than 124 Total medals?,3
18044,"December smaller than 21, and a Opponent of buffalo sabres had what score?",0
18045,Score of 8 - 1 happened on what day in December?,0
18046,"December larger than 21, and a Opponent of Pittsburgh penguins had what average game?",5
18047,"December smaller than 14, and a Game smaller than 28, and a Score of 6 - 6 involved what opponent?",0
18048,What is the date that the item was laid down if it was launched on 1899-04-25?,0
18049,"Which builder is associated with ikazuchi ""thunder""?",0
18050,Which builder has the the kanji of 曙?,0
18051,"Which Density per km² is the lowest one that has a Number (map) smaller than 13, and an Area in km² of 11.1?",2
18052,"Which Area in km² has a Population Canada 2011 Census larger than 18,097, and a Borough of verdun?",0
18053,"How much #s have an Area in km² larger than 13.5, and a Population Canada 2011 Census of 134,038?",3
18054,"Which Number (map) is the lowest one that has a Area in km² of 9.7, and a Population Canada 2011 Census larger than 66,158?",2
18055,"Attendance of 19,741 had what average week?",5
18056,"Attendance of 29,000 occurred on what date?",0
18057,Opponent of Philadelphia eagles had what attendance?,0
18058,What day did Alex Best exit?,0
18059,What place did the celebrity who is famous for being an athlete finish?,0
18060,What place did the singer in atomic kitten finish?,0
18061,Who was the celebrity who exited on day 13?,0
18062,Who was the celebrity who finished in 7th place?,0
18063,"Name of gilmar, and a Caps smaller than 94 had how many highest goals?",1
18064,Caps of 93 had how many goals?,0
18065,"Latest cap of september 5, 2011 had how many goals?",0
18066,Name of rivelino had how many highest caps?,1
18067,Which athlete played at the Birmingham venue?,0
18068,"Which Frequency has a Webcast of •, and a Callsign of xemr?",5
18069,Which Website has a Frequency smaller than 760 and a Callsign of kkyx?,0
18070,Which Webcast has a Callsign of kgbt?,0
18071,"Which Frequency has a Website of •, and a Webcast of •in san antonio?",5
18072,What years did the player play when he scored 78 points and 22 goals?,0
18073,How many goals did Joey Worthen have when he had 15 assists?,0
18074,How many goals were scored when 158 points were collected?,0
18075,What years had players who scored 36 goals?,0
18076,What was the rank of the player who had 13 assists?,0
18077,"What is the sum of the weeks during which the Redskins played against the Houston Oilers and had more than 54,582 fans in attendance?",4
18078,What is the highest attendance for week 1?,1
18079,"What is the total number in attendance for the game after week 8 that was on November 25, 1979?",3
18080,Which Surface has a Score of 2009 wta tour?,0
18081,Which Round has a Ranking of 2008 wta tour?,0
18082,"Which Surface has a Round of 4th round, and a Player of maria sharapova?",0
18083,"Which Player has a Score of 6–4, 7–6 (7–5)?",0
18084,Which Round has a Player of anna chakvetadze?,0
18085,Record of 89-67 had what loss?,0
18086,Score of 3 - 2 had what record?,0
18087,"Opponent of @ blue jays, and a Loss of lyon (5-4) had what opponent?",0
18088,Loss of lyon (5-4) had what score?,0
18089,Loss of finley (8-7) had what record?,0
18090,"Opponent of @ blue jays, and a Date of october 6 had what score?",0
18091,What is the score for game 5?,0
18092,"What is the score that has a game greater than 3, with buffalo sabres as the opponent?",0
18093,What score has may 9 as the date?,0
18094,"What was the score on October 16, 1983?",0
18095,What was the score when she was a runner-up?,0
18096,"What tournament was being played on August 11, 1984?",0
18097,"What was the Venue on June 8, 2005?",0
18098,On what Date was the Venue Los Angeles?,0
18099,"What was the Score on September 29, 2003?",0
18100,On what Date was the Venue in Carson?,0
18101,"What was the competition on October 21, 2003?",0
18102,"What was the Competition on September 29, 2003?",0
18103,"What country has chunkath, mohan verghese as the name?",0
18104,"What position has a spread greater than -319, and United States as the country, a win loss of 11-13, and gabriel, marty as the name?",0
18105,What name has a spread of 69?,0
18106,Which Performer 2 has an Episode of 5?,0
18107,What weight has one rupee as the denomination?,0
18108,"What is the size that has nickel as the metal, and one rupee as the denomination?",0
18109,What metal has one rupee as the denomination?,0
18110,"What shape has nickel as the metal, and one rupee as the denomination?",0
18111,"Which 2007 has a 2010 of A, and a 2006 of lq?",0
18112,Which 2012 has a 2007 of 1r?,0
18113,Which 2002 has a 2013 of 2–4?,0
18114,Which 2013 has a 2010 of 1r?,0
18115,Which 2005 has a Tournament of grand slam tournaments?,0
18116,"Which 2007 has a 2008 of 1r, and a Tournament of wimbledon?",0
18117,Which Date has a Home of minnesota?,0
18118,"Which Visitor has a Decision of myre, and a Record of 44–7–15?",0
18119,What Championship had a Winning score of 6 & 5?,0
18120,What was the Winning Score when Betsy Rawls was the Runner(s)-up?,0
18121,"In 1946, what is the Runner(s)-up of the Women's Western Open Championship?",0
18122,What is the Margin in 1953 when Patty Berg was Runner(s)-up?,0
18123,What is the Margin when the Winning score is +8 (70-69-70-75=284)?,0
18124,What is the name of the primary with a DCSF number larger than 2337 and an Ofsted number smaller than 135339?,0
18125,What name that has a DCSF number bigger than 2448 and an Ofsted number of 131319?,0
18126,What faith has a DCSF number bigger than 2448 in Holtsmere End?,0
18127,What's the lowest DCSF number in Aycliffe Drive but an Ofsted number smaller than 117335?,2
18128,what city is the toamasina airport in?,0
18129,"What country has the city, Sydney?",0
18130,What city is in the country of Mayotte?,0
18131,What is the IATA for the chennai international airport?,0
18132,What is the airport name that has nos listed as the IATA?,0
18133,What is the part number of athlon x2 4850e?,0
18134,What's the frequency of the device that has a Multi 1 of 7.5×?,0
18135,What's amount of L2 Cache on a device that has a Frequency of 1500mhz?,0
18136,When is the release date for a chip that has a Frequency of 2300mhz?,0
18137,When was the release date for technology that has a Multi 1 of 10.5×?,0
18138,What's the stepping amount for adh4450iaa5do?,0
18139,"Which Wins is the highest one that has a Year larger than 1996, and a Championship Finish of 1st, and Points smaller than 168?",1
18140,"Which Year is the highest that has a Team of walker racing, and Wins larger than 1?",1
18141,"Which Points have a Year larger than 1998, and Wins of 1?",5
18142,"What is the lowest bronze number when silver shows 2, and the total is 8?",2
18143,"What is the silver number when gold is more than 4, and the total is less than 24?",5
18144,What is the gold number when the total is 8 and bronze is more than 4?,5
18145,"What is the sum of Total for 0 gold and less than 2, silver with a rank of 6?",4
18146,"What is the average Gold when silver is more than 2, and bronze is more than 1",5
18147,"What is the average Bronze when silver is more than 2, and rank is 2, and gold more than 2",5
18148,What city in Svalbard has a longitude of 15°39′e?,0
18149,"If the latitude is 77°28′n, what is the longitude?",0
