,Questions,Category1,type
971,Where is Logan Airport ?,LOC,1
972,What is the difference between Neoclassical art and Romanticism art ?,DESC,1
973,Who was the first person inducted into the U.S. Swimming Hall of Fame ?,HUM,1
974,What golfer has been called Ohio Fats and Blobbo ?,HUM,1
975,Who murdered Leno and Rosemary LaBianca on August 1,HUM,1
976,What is the average cost for four years of medical school ?,NUM,0
977,What does God create in the first sentence of the Bible ?,ENTY,1
978,Which of the following men was not married to Rita Hayworth ?,HUM,1
979,What is the current ticket fare from from Cairo to Barbados ?,NUM,0
980,What does NN O `` mean when used as a prefix in Irish surnames ?,ABBR,1
981,How do you find oxidation numbers ?,DESC,1
982,What is the state nickname of Mississippi ?,LOC,1
983,"What is Black Hills , South Dakota most famous for ?",DESC,1
984,What 1966 boob tube bomb took astronauts back to prehistoric times ?,ENTY,1
985,How many students attend the University of Massachusetts ?,NUM,0
986,"Who said , `` I shall return . '' during World War Two ?",HUM,1
987,What holidays are celebrated in Ireland ?,ENTY,1
988,"Who portrayed Etta Place , companion to Butch Cassidey and the Sundance Kid ?",HUM,1
989,What are the Greek numerals ?,DESC,1
990,What 's the name of the temple that is located near the capital city of Laos ?,LOC,1
991,What is a fear of sleep ?,ENTY,1
992,What auto race was Wilbur Reed the first to win three times ?,ENTY,1
993,What are the most common breeding birds in the U.S. ?,ENTY,1
994,"What was organized as a Confederate veterans ' social club in Pulaski , in Tennessee , in 1866 ?",ENTY,1
995,How do you look up criminal records on the Internet ?,DESC,1
996,"Where is the actress , Marion Davies , buried ?",LOC,1
997,What is an example of an actual case of using the Fourteenth Amendment ?,DESC,1
998,Who was the Charlie perfume woman ?,HUM,1
999,Who portrayed `` Rosanne Rosanna-Dana '' on the television show `` Saturday Night Live '' ?,HUM,1
1000,"What singer became despondent over the death of Freddie Prinze , quit show business , and then quit the business ?",HUM,1
1001,When did Iraqi troops invade Kuwait ?,NUM,0
1002,What was Mark Johnson referring to when he said : `` I still can 't believe it- we beat the Russians ? '',ENTY,1
1003,What car was driven in the 199 release of `` Smokey and the Bandit '' ?,ENTY,1
1004,What was the backup singing group for Roy Rogers ?,HUM,1
1005,What famous singing cowboy owns the California Angels baseball team ?,HUM,1
1006,What 1915 film was the first to gross $5 million ?,ENTY,1
1007,Where did the term `` 86 '' come from ?,DESC,1
1008,What causes someone to be ticklish ?,DESC,1
1009,What is the probability that at least 2 out of 25 people will have the same birthday ?,NUM,0
1010,How many Canadians emmigrate each year ?,NUM,0
1011,Why did several San Diego schools remove apples from students menus ?,DESC,1
1012,What musical instrument did Sherlock Holmes play ?,ENTY,1
1013,Who was Gerald Ford 's vice president ?,HUM,1
1014,What is `` the washed vodka '' ?,DESC,1
1015,How many different languages are spoken in Europe ?,NUM,0
1016,What year was Desmond Mpilo Tutu awarded the Nobel Peace Prize ?,NUM,0
1017,What 's a `` Drinker respirator '' better known as ?,ENTY,1
1018,Who invented batteries ?,HUM,1
1019,Why do recipe books recommend starting with cold water when you boil something ?,DESC,1
1020,Where can I buy a good snowboard for less than $200 ?,LOC,1
1021,What title did Suzette Charles assume for two months in 1984 ?,HUM,1
1022,What was the infamous pseudonym of Peter Sutcliffe ?,HUM,1
1023,What is Smokey The Bear 's middle name ?,ENTY,1
1024,What is Nicholas Cage 's occupation ?,HUM,1
1025,What British TV series featured Emma Peel ?,ENTY,1
1026,What London street is the home of British journalism ?,LOC,1
1027,What tragedy befell the city of Dogtown in 1899 ?,ENTY,1
1028,What is the Immaculate Conception ?,DESC,1
1029,What are the names of all the U.S. Navy aircraft carriers ?,ENTY,1
1030,What format was VHS 's main competition ?,ENTY,1
1031,What is Candlemas Day ?,DESC,1
1032,In what city is the famed St. Mark 's Square ?,LOC,1
1033,What does the Ouarterly Review of Doublespeak call an `` inoperative statement '' ?,ENTY,1
1034,How much did the minimum wage amount to in 1991 ?,NUM,0
1035,Where is Tufts University ?,LOC,1
1036,What is a pyrotechnic display ?,DESC,1
1037,How do I find out about jobs ?,DESC,1
1038,What Japanese manufacturer is known for both its pianos and its motorcycles ?,HUM,1
1039,What is the chemical reactivity of argon ?,NUM,0
1040,How many engines does a Boeing 737 have ?,NUM,0
1041,What is the origin of the term `` The Brooklyn Side '' in bowling ?,DESC,1
1042,What is a fear of being cold ?,ENTY,1
1043,How long was Mao 's 1930s Long March ?,NUM,0
1044,What net game sees its women 's world amateur champions receive the Uber Cup ?,ENTY,1
1045,What four-legged creature did a Cornell University study say would make man 's best companion in space ?,ENTY,1
1046,What does a teaspoon of matter weigh in a black hole ?,NUM,0
1047,"What did British companies stick 175 , 0 tons of tea into in 1982 ?",ENTY,1
1048,What province is Edmonton located in ?,LOC,1
1049,How can I find out how much income tax is paid on Social Security income on the 1998 income tax ?,DESC,1
1050,Who did Sonny Liston succeed as world heavyweight boxing champion ?,HUM,1
1051,What is California 's state bird ?,ENTY,1
1052,What is Martin Luther King Jr. 's real birthday ?,NUM,0
1053,Name the various super-teams to which the Angel has belonged .,HUM,1
1054,How does Zatanna perform her magic in DC comics ?,DESC,1
1055,What 's the name of Jacques Cousteau 's research ship ?,ENTY,1
1056,What President dispatched a cruiser to carry Charles Lindbergh home after his epic flight ?,HUM,1
1057,Whose video is titled Shape Up with Arnold ?,HUM,1
1058,In which Kevin Costner movie did Sioux Indians play a role ?,ENTY,1
1059,How many James Bond novels are there ?,NUM,0
1060,How do you get dates with the `` Hooters '' girls ?,DESC,1
1061,What bird can swim but can 't fly ?,ENTY,1
1062,How can I get a comic character I made copyrighted and published ?,DESC,1
1063,How large is the Arctic refuge to preserve unique wildlife and wilderness value on Alaska 's north coast ?,NUM,0
1064,What is Plc ?,DESC,1
1065,How much electricity does the brain need to work ?,NUM,0
1066,How many acres in a mile ?,NUM,0
1067,What Dickens novel has David carrying the message `` Barkis is willin '' to Peggy ?,ENTY,1
1068,What is a hyperlink ?,DESC,1
1069,Who 's the twin brother of the Greek goddess Artemis ?,HUM,1
1070,Where did marijuana come from ?,DESC,1
1071,"What is the per-capita income of Colombia , South America , ?",NUM,0
1072,What novel has Big Brother watching ?,ENTY,1
1073,How many Grammys did Michael Jackson win in 1983 ?,NUM,0
1074,What does Elysium mean ?,DESC,1
1075,What is the oldest website on the Internet ?,LOC,1
1076,What is Shalom ?,DESC,1
1077,What was the favorite sport of Tom Wolfe 's The Pump House Gang ?,ENTY,1
1078,What organic fuel do bog-dwellers use a `` slane '' to cut ?,ENTY,1
1079,What is the average age of a member of the team that worked on the Manhatten Project ?,NUM,0
1080,What country received all the Nobel Prizes awarded in 1976 ?,LOC,1
1081,How do you get rid on woodpeckers ?,DESC,1
1082,How many syllables are there in a line of hendecasyllabic poetry ?,NUM,0
1083,"What soft drink first appeared in the Old Corner Drug Store in Waco , Texas , in 1885 ?",ENTY,1
1084,What is Britain 's possession on the Chinese mainland ?,LOC,1
1085,Who was America 's first Public Enemy No. 1 ?,HUM,1
1086,How many children under 18 are victims of some sort of Physical Abuse each year ?,NUM,0
1087,What is the origin of thank you notes ?,DESC,1
1088,What did Jimmy Stewart invent ?,ENTY,1
1089,What generation am I in ?,ENTY,1
1090,What is a fear of hell ?,ENTY,1
1091,Who is Dear Abby ?,HUM,1
1092,"Who lives at 24 Sussex Drive , Ottawa ?",HUM,1
1093,What is Jell-O made from ?,ENTY,1
1094,Who was Monet ?,HUM,1
1095,What are the only two states that incorporate the Confederate battle flag in their flags ?,LOC,1
1096,How do you make panoramic sugar eggs for Easter - the ones with the scene inside ?,DESC,1
1097,What 's the Southern dish made of pigs ' small intestines ?,ENTY,1
1098,Where is Guam ?,LOC,1
1099,Who was the famous door-to-door brush salesman ?,HUM,1
1100,What is the executor in a will ?,DESC,1
1101,"What inescapable purveyor of background music celebrated its 5th anniversary in July , 1984 ?",HUM,1
1102,How many people in America snore ?,NUM,0
1103,Who is always trying to get the rent from Andy Capp ?,HUM,1
1104,What soft drink is most heavily caffeinated ?,ENTY,1
1105,Who did Jackie Kennedy commission to write The Death of a President ?,HUM,1
1106,Which drug is commonly used to treat AIDS ?,ENTY,1
1107,How many stars are there on the Soviet Union 's flag ?,NUM,0
1108,What is the difference between microprocessors &amp; microcontrollers ?,DESC,1
1109,Who sought to create The Great Society ?,HUM,1
1110,What are tourist attractions in Reims ?,LOC,1
1111,What are the lengths of pearl necklaces ?,NUM,0
1112,Who said : `` Soldiers win the battles and generals get the credit '' ?,HUM,1
1113,What is the proof that houseplants metabolize carcinogens ?,DESC,1
1114,What prompted the co-pilot of the Enola Gay to enter only `` My God '' in his log ?,DESC,1
1115,How long does it take the typical hen to lay 19 dozen eggs ?,NUM,0
1116,What Colorado city owns its own glacier ?,LOC,1
1117,What is the history of `` the toast '' ?,DESC,1
1118,What was the name of the Protestant revolt against the supremacy of the Pope ?,ENTY,1
1119,What is an arab strap ?,DESC,1
1120,"How much does it cost , average or whatever is available , to produce and send junk mail catalogues in the US ? , DT CD NN NN ,",NUM,0
1121,Who is the current UN Secretary General ?,HUM,1
1122,"Who provides telephone service in Orange County , California ?",HUM,1
1123,Where did guinea pigs originate ?,LOC,1
1124,What two countries ' coastlines border the Bay of Biscay ?,LOC,1
1125,Why did Egyptians shave their eyebrows ?,DESC,1
1126,What organization did Mr. Waverly assign agents for ?,HUM,1
1127,When was the slinky invented ?,NUM,0
1128,What are the characters ' names in the Scooby-Doo cartoon ?,HUM,1
1129,What is a fear of cold ?,ENTY,1
1130,What was Eduard Shevardnadze 's job in the Soviet Union ?,HUM,1
1131,What causes rust ?,DESC,1
1132,Which is the only Dick Tracy villain to appear three times ?,HUM,1
1133,What was the monster in Spielberg 's film `` Jaws '' ?,ENTY,1
1134,What color is an Arctic fox in winter ?,ENTY,1
1135,"What do the names Neil , Mary , and Anthony mean ?",DESC,1
1136,"What European capital celebrated its 2 , 000th anniversary in 1951 ?",LOC,1
1137,Why do people in the upper peninsula of Michagin say `` eh ? '' ?,DESC,1
1138,What flower did Vincent Van Gogh paint ?,ENTY,1
1139,What country was the setting of You Only Live Twice ?,LOC,1
1140,What was Thatcher 's approval rating after 10 years in power ?,NUM,0
1141,Winnie the Pooh is what kind of animal ?,ENTY,1
1142,"What was the first Funk 'N Lata , Brazilian group , success ?",DESC,1
1143,What is a handheld PC ?,DESC,1
1144,What did John Hinckley do to impress Jodie Foster ?,DESC,1
1145,What is Larry King 's job ?,HUM,1
1146,How many calories are in a tomato ?,NUM,0
1147,In what state was the first co-educational college established,LOC,1
1148,What war saw a naval battle between the luxury liners Cap Trafalgar and the Carmania ?,ENTY,1
1149,What is the treatment for depression ?,ENTY,1
1150,What is a fear of slime ?,ENTY,1
1151,What country in Latin America is the largest one ?,LOC,1
1152,On which Hawaiian island is Pearl Harbor ?,LOC,1
1153,"What feathered cartoon characters do Yugoslavians know as Vlaja , Gaja , and Raja ?",HUM,1
1154,What Marx Brothers movie centers on a stolen painting ?,ENTY,1
1155,What was unusual about Alexandra 's appearance in Josie and the Pussycats ?,DESC,1
1156,What is the origin of the word `` mind '' ?,DESC,1
1157,When was Dick Clark born ?,NUM,0
1158,What game is fatal to anybody over 21 ?,ENTY,1
1159,What is the death toll of people dying from tuberculosis ?,NUM,0
1160,What happened to Moon Maiden ?,DESC,1
1161,What city is wiener schnitzel named for ?,LOC,1
1162,What are the Urals ?,DESC,1
1163,How can you stop the itch from poison ivy ?,DESC,1
1164,What desert has the highest sand dunes ?,LOC,1
1165,What two countries contain Sierra Nevada mountains ?,LOC,1
1166,How do you tell your parents you are dating an older man ?,DESC,1
1167,How long was the TV mission of Star Trek 's Enterprise to be ?,NUM,0
1168,What phone number can I call to have a tree planted ?,NUM,0
1169,When did the `` Star-Spangled Banner '' become the national anthem ?,NUM,0
1170,Who was Lacan ?,HUM,1
1171,What are the four natural aids used in riding a horse ?,ENTY,1
1172,What continent 's name appears on the upper left corner of a Budweiser label ?,LOC,1
1173,Who was the Secretary of War in the Civil War during the Battle of Gettysburg ?,HUM,1
1174,Who did Bobby Fischer beat to win the world chess championship ?,HUM,1
1175,How do you exterminate bees that are in the walls of your home ? Will bee eggs remain over winter ?,DESC,1
1176,Where can I get information and statistics on countries and nations ?,LOC,1
1177,Name a Gaelic language .,ENTY,1
1178,"What day is August 13 , 1971 ?",NUM,0
1179,Where can I find a list of all the companies in America that offer a direct stock purchase plan ?,LOC,1
1180,How do you send a movie transcript to Hollywood so that it can be produced into a film ?,DESC,1
1181,"What literary classic centers on the search for a treasure in gold worth 7 , 0 pounds ?",ENTY,1
1182,What is the origin of blue for boys and pink for girls ?,DESC,1
1183,What is the name of the Michelangelo painting that shows two hands with fingers touching ?,ENTY,1
1184,How big is a quart ?,NUM,0
1185,What is the Hub of London ?,DESC,1
1186,Jude Law acted in which film ?,ENTY,1
1187,What causes panic attacks ?,DESC,1
1188,What was the filling in the first golf balls ?,DESC,1
1189,What drug did Sigmund Freud become fascinated with while experimenting with the treatment of neurasthenia ?,ENTY,1
1190,What country was A Terrible Beauty to Leon Uris ?,LOC,1
1191,What is typhoid fever ?,DESC,1
1192,Where can I buy a hat like the kind Jay Kay from Jamiroquai wears ?,LOC,1
1193,What are the Twin Cities ?,DESC,1
1194,What is Beethoven 's 9th symphony called ?,ENTY,1
1195,Name the lawyer for Randy Craft .,HUM,1
1196,Which breakfast cereal brought you `` the best each morning '' ?,ENTY,1
1197,"What does Ms. , Miss , and Mrs. stand for ?",ABBR,1
1198,What is the Homelite Inc. home page ?,LOC,1
1199,"What explosive do you get by mixing charcoal , sulfur and saltpeter ?",ENTY,1
1200,What mountainous region of the world is the Lhasa Apso dog native to ?,LOC,1
1201,What cancer is commonly associated with AIDS ?,ENTY,1
1202,How long does it take light to reach the Earth from the Sun ?,NUM,0
1203,Who lives at 39 Stone Canyon Way ?,HUM,1
1204,How many questions are on this thing ?,NUM,0
1205,Who played Humpty Dumpty in the 1933 film Alice in Wonderland ?,HUM,1
1206,"Who is Karenna Gore , Al Gore 's oldest daughter , married to ?",HUM,1
1207,Who played the title role in I Was a Teenage Werewolf ?,HUM,1
1208,Why are there olives in martinis ?,DESC,1
1209,In what year did Hitler gain power of Germany ?,NUM,0
1210,What year did Rossetti paint `` Beata Beatrix '' ?,NUM,0
1211,What record company produced the 1978 movie The Wiz ?,HUM,1
1212,Where can I find information about touring the Philippines ?,LOC,1
1213,What did The Gas House Gang play ?,ENTY,1
1214,How many square feet is Bill Gates ' home ?,NUM,0
1215,"What is the name of actor Rex Harrison 's son , who starred in a modestly popular TV show during the late 1960's ?",HUM,1
1216,What is the highest Roman numeral ?,DESC,1
1217,What 's the most popular form of bridge ?,ENTY,1
1218,Who was the inventor of the stove ?,HUM,1
1219,What comedian has a legendary reputation for stealing jokes ?,HUM,1
1220,Where can I find information on the cyclone that hit New Jersey on 8/28/1941 ?,LOC,1
1221,Boxing Day is celebrated on what date ?,NUM,0
1222,What are the first ten amendements passed ?,ENTY,1
1223,What is another term for the painful wrist syndrome ?,ENTY,1
1224,What 's the difference between sleet and freezing rain ?,DESC,1
1225,How is the new Ford Econoline van F25 V1 engine ?,DESC,1
1226,Who was the king who was forced to agree to the Magna Carta ?,HUM,1
1227,Who was made the first honorary citizen of the U.S. ?,HUM,1
1228,What game is Garry Kasparov really good at ?,ENTY,1
1229,Where was Richard Nixon when Gerald Ford became president ?,LOC,1
1230,Where does the U.S. rank among world countries in area ?,NUM,0
1231,What novel did Ian Fleming introduce James Bond in ?,ENTY,1
1232,What was the target rate for M3 growth in 1992 ?,NUM,0
1233,What baseball team was routinely called `` dem bums '' by its frustrated fans ?,HUM,1
1234,Name of scholar on whose literal translations from the Chinese and Japanese Ezra Pound depended ?,HUM,1
1235,When did Israel begin turning the Gaza Strip and Jericho over to the PLO ?,NUM,0
1236,What are the major differences in the Catholic and Methodist religions ?,DESC,1
1237,Name the On Stage character whose face was never seen .,HUM,1
1238,How much energy is released when oxygen and hydrogen mix ?,NUM,0
1239,What is the best Internet business to go into ?,HUM,1
1240,What does Venus Retrograde mean ?,DESC,1
1241,Who is known as `` the world 's oldest teenager '' ?,HUM,1
1242,What are the largest breweries in the world ?,LOC,1
1243,What does Las Vegas mean ?,DESC,1
1244,What does the word `` meta '' mean ?,DESC,1
1245,What keeps clouds in the air ?,ENTY,1
1246,What 's the term for any four-sided figure ?,ENTY,1
1247,Ray Charles plays which instrument ?,ENTY,1
1248,What country and western singer is known as The Silver Fox ?,LOC,1
1249,What building appropriately enough is depicted on the back of the 1-dollar bill ?,LOC,1
1250,What is graduate school ?,DESC,1
1251,What is the difference between New York-style and Chicago-style pizza ?,DESC,1
1252,What baseball team owner and sailor is known as The Mouth of the South ?,HUM,1
1253,What type of betting is used in horse racing ?,ENTY,1
1254,What kind of hat does Bat Masterson wear ?,ENTY,1
1255,Who was with Patricia Hearst the night she was kidnaped ?,HUM,1
1256,What is the Viking Prince 's first name ?,HUM,1
1257,What does the abbreviation cwt. ?,ABBR,1
1258,In what deodorant commercial did tenants have adjoining medicine cabinets ?,ENTY,1
1259,Where is Rider College located ?,LOC,1
1260,What boxer 's life story is titled Raging Bull ?,HUM,1
1261,For what reason did some San Diego schools stop serving apples ?,DESC,1
1262,Who advised listeners to `` see the U.S.A. in your Chevrolet '' ?,HUM,1
1263,Where was the first restaurant ?,LOC,1
1264,Where can I find full written draft of CTBT ?,LOC,1
1265,How many horses died during the civil war ?,NUM,0
1266,How much waste does an average dairy cow produce in a day ?,NUM,0
1267,What Nobel laureate was expelled from the Philippines before the conference on East Timor ?,HUM,1
1268,"What woman has carried the most multiple births , twins , triplets , etc. , ?",HUM,1
1269,How many minutes were there on the original GE College Bowl clock ?,NUM,0
1270,What is the average time it takes for a male to ejaculate ?,NUM,0
1271,What is website of the International Court of Justice ?,LOC,1
1272,Where are 8 of the 10 highest mountains in the world ?,LOC,1
1273,Where can I look at a perpetual calendar ?,LOC,1
1274,How many astronauts have been on the moon ?,NUM,0
1275,In what year did the Bounty mutiny happen ?,NUM,0
1276,What is the only substance that gives food its `` taste '' when eaten ?,ENTY,1
1277,How do you reference a website ?,DESC,1
1278,What is pandoro ?,DESC,1
1279,What do the letters ZIP stand for in the phrase `` ZIP code '' ?,ABBR,1
1280,Which Bourbon king was restored to the French throne during Napoleon 's abdication ?,HUM,1
1281,What is one of the cities that the University of Minnesota is located in ?,LOC,1
1282,What are the words to `` My Way '' written by Paul Anka ?,DESC,1
1283,How do I install a tile floor ?,DESC,1
1284,What is the quickest and easiest way to get nail polish out of clothes ?,ENTY,1
1285,Why was the zipper invented ?,DESC,1
1286,What 's the No. 1 killer in industrialized countries ?,ENTY,1
1287,Name four famous cartoon cats .,ENTY,1
1288,What daughter of Henry VIII and Anne Boleyn became queen of England ?,HUM,1
1289,How did ` stat ' come to be used as an expression for quickly ?,DESC,1
1290,What 's the most common nickname of U.S. college football teams ?,HUM,1
1291,What 's the distinction of U.S. Supreme Court Justice Thurgood Marshall ?,DESC,1
1292,What is the most useful site on the Internet ?,LOC,1
1293,What is the world 's highest peak ?,LOC,1
1294,What was a Mae West on a World War II battleship ?,DESC,1
1295,Define cosmology .,DESC,1
1296,What comedienne upstaged Dwight D. Eisenhower 's first inauguration by giving birth to her first child ?,HUM,1
1297,What are amicable numbers ?,DESC,1
1298,When were the Olympic Games in which Nadia Comaneci became popular played ?,NUM,0
1299,"Where is Hearst Castle , built by publisher William Randolph Hearst ?",LOC,1
1300,What 's the largest U.S. city on the Great Lakes ?,LOC,1
1301,Who sang about Desmond and Molly Jones ?,HUM,1
1302,"What magazine gives us the cream , not the skim ?",ENTY,1
1303,What does the technique called `` cold fusion '' produce ?,ENTY,1
1304,What costume designer decided that Michael Jackson should only wear one glove ?,HUM,1
1305,"What meter did Shakespeare use in writing : `` To be , or not to be , that is the question.. . '' ?",ENTY,1
1306,How many rows of sprocket holes does a roll of 35-millimeter film have ?,NUM,0
1307,What is the goat population of the world ?,NUM,0
1308,What company was the original sponsor of TV 's Superman ?,HUM,1
1309,What term does a Czech use to describe a Pole ?,ENTY,1
1310,What sea separates Naples and Algiers ?,LOC,1
1311,How many lawyers are there in the state of New Jersey ?,NUM,0
1312,What are the most common elements in seawater ?,ENTY,1
1313,Describe the Finnish music personality Salonen 's appearance .,DESC,1
1314,What is the origin of the ethnic category `` caucasian '' ?,DESC,1
1315,What is a stratocaster ?,DESC,1
1316,What kind of science is cosmology ?,ENTY,1
1317,Name the blind sculptress in love with the Fantastic Four 's Thing .,HUM,1
1318,What 's the second-lightest element ?,ENTY,1
1319,What do you call a `` twirl '' in ballet ?,ENTY,1
1320,What is the brand name of daminozide ?,ENTY,1
1321,What is the former name of Zimbabwe ?,ENTY,1
1322,What National Basketball Association superstar told his story in Giant Steps ?,HUM,1
1323,What animals did The Amazing Three masquerade as ?,ENTY,1
1324,How did the bikini bathing suite get its name ?,DESC,1
1325,When did Fraze get his first patent for the pull-tab can ?,NUM,0
1326,How many games are played in a five-team round-robin tournament ?,NUM,0
1327,Who developed the first polio vaccine ?,HUM,1
1328,Who made the first gas engine ?,HUM,1
1329,"What country claimed Rubens , Van Dyck and Bruegel as citizens ?",LOC,1
1330,What civil war was fought between 1936 and 1939 ?,ENTY,1
1331,How many questions do you have on your database ?,NUM,0
1332,How do clouds form ?,DESC,1
1333,Where can I find examples of legal cases about the Individuals with Disabilities Education Act ?,LOC,1
1334,What character did Tex Avery first create upon arriving at MGM ?,HUM,1
1335,When was the Triangle Shirtwaist fire ?,NUM,0
1336,What Asian spiritual and political leader was married at the age of 13 ?,HUM,1
1337,Where is Ocho Rios ?,LOC,1
1338,What is the half-life of P-32 ?,DESC,1
1339,What ocean does Mauritania border ?,LOC,1
1340,Why do pressure cookers save time in the kitchen ?,DESC,1
1341,Why are there 12 people on a jury in criminal cases ?,DESC,1
1342,What do Christian Scientists believe in ?,DESC,1
1343,"What World War I battle saw 6 , 0 troops killed in one day ?",ENTY,1
1344,What country is Kosovo a part of ?,LOC,1
1345,Tell me what city the Kentucky Horse Park is near ?,LOC,1
1346,What computer operating system is on the most computers ?,ENTY,1
1347,What is Bill Gross 's email address ?,LOC,1
1348,What is the economic impact of unemployment on the economy ?,DESC,1
1349,"What do the letters D.C. stand for in Washington , D.C. ?",ABBR,1
1350,What animals can live the longest without food ?,ENTY,1
1351,What English queen had seventeen children ?,HUM,1
1352,"What is the approximate population of Las Vegas , N.M ?",NUM,0
1353,How much does the President get paid ?,NUM,0
1354,What two baseball players make up the battery ?,HUM,1
1355,What 's the largest letter in Salvador Dali 's signature ?,ENTY,1
1356,What does an irate car owner call iron oxide ?,ENTY,1
1357,"Of children between the ages of two and eleven , what percentage watch `` The Simpsons '' ?",NUM,0
1358,What 's the northernmost U.S. state apart from Alaska ?,LOC,1
1359,Name an art gallery in New York .,LOC,1
1360,Who sells Viagra ?,HUM,1
1361,What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?,ENTY,1
1362,What is the Home Rule Act ?,DESC,1
1363,What building are British monarchs crowned in ?,LOC,1
1364,What are Bellworts ?,DESC,1
1365,Who was Darius ?,HUM,1
1366,What movie told of Anna Anderson 's claim to be a Russian czar 's daughter ?,ENTY,1
1367,Who did Dita Beard work for ?,HUM,1
1368,What kind of creature is a coot ?,ENTY,1
1369,Name the university of which Woodrow Wilson was president .,HUM,1
1370,"What country was first to use the airplane as a weapon of war , against the Turks in Libya ?",LOC,1
1371,What university was Woodrow Wilson President of ?,HUM,1
1372,What is a fear of disease ?,ENTY,1
1373,What kind of meat is Fray Bentos synonymous with ?,ENTY,1
1374,What did Mr. Magoo flog on TV for General Electric ?,ENTY,1
1375,What are the words to the Canadian National anthem ?,DESC,1
1376,What is the name of the Jewish alphabet ?,ENTY,1
1377,Who served as inspiration for the schoolteacher portrayed by Robin Williams in `` Dead Poets Society '' ?,HUM,1
1378,What is Columbia Tristar 's phone number ?,NUM,0
1379,Name the five positions who are in the line of succession to the presidency .,HUM,1
1380,Which one of the original seven Mercury program astronauts did not fly on any of the Mercury flights ?,HUM,1
1381,Who is the best known villain of the 165 Gunpowder Plot ?,HUM,1
1382,What is the capital of Burkina Faso ?,LOC,1
1383,What continent is Bolivia on ?,LOC,1
1384,Why was Muhammad Ali stripped of his title and barred from boxing in 1967 ?,DESC,1
1385,"Who killed more people , Hitler or Stalin ?",HUM,1
1386,What caused Shea &amp; Gould to close their L.A. office ?,DESC,1
1387,What 's the only mammal that can 't jump ?,ENTY,1
1388,What U.S. state has the most blondes ?,LOC,1
1389,What war saw battles at Parrot 's Beak and Black Virgin ?,ENTY,1
1390,What was the U.S. highway death toll in 1969 ?,NUM,0
1391,What does the name Kelly mean ?,DESC,1
1392,What is a phalanx ?,DESC,1
1393,What mustachioed comedian portrayed Frankie in North to Alaska ?,HUM,1
1394,What does each of the utilities cost in Monopoly ?,NUM,0
1395,"What actor and World War II airman had a $5 , 0 bounty put on his head by Hermann Goering ?",HUM,1
1396,What does e.g. stand for ?,ABBR,1
1397,What is the name of the medical condition in which a baby is born without a brain ?,ENTY,1
1398,How do storms form ?,DESC,1
1399,Who is Nicolo Paganini ?,HUM,1
1400,What city is often called The Insurance Capital of the World ?,LOC,1
1401,What are the three animals in Sheila Burnford 's The Incredible Journey ?,ENTY,1
1402,Who portrayed Dracula in Hammer Studios ' films ?,HUM,1
1403,Name one of the Seven Wonders of the Ancient World .,ENTY,1
1404,When were fish first believed to be found on earth ?,NUM,0
1405,"What President 's favorite Biblical quotation was : `` Come now , and let us reason together '' .",HUM,1
1406,How many elevators do you ride to reach the top floor of the Empire State Building ?,NUM,0
1407,Name the food company that traveled to Soviet Georgia to film a series of ads .,HUM,1
1408,What country was Sir Edmund Hillary born in ?,LOC,1
1409,What 's an infant seal called ?,ENTY,1
1410,"What was the proper Laugh-In respones to : `` Say goodnight , Dick '' ?",DESC,1
1411,What city was John F. Kennedy nominated for president in ?,LOC,1
1412,How long does a dog sleep ?,NUM,0
1413,What 1963 Joseph L. Mankiewicz film cost $28 million ?,ENTY,1
1414,What Japanese electronics company was named for a coastal city northeast of Tokyo ?,HUM,1
1415,What can you be fined for having a dog on a beach ?,NUM,0
1416,Where did the Battle of the Bulge take place ?,LOC,1
1417,How much will the California be in the year 2000 ?,NUM,0
1418,"What mystery writer penned `` ...the glory that was Greece , and the grandeur that was Rome '' ?",HUM,1
1419,What state full of milk and honey was the destination in The Grapes of Wrath ?,LOC,1
1420,What is the tallest building in Japan ?,LOC,1
1421,Where is Sinn Fein 's headquarters ?,LOC,1
1422,Name Li 'l Abner 's favorite Indian drink .,ENTY,1
1423,What are some important events of the 1830 's ?,ENTY,1
1424,The Iraqis launched their attack on Kuwait on what day ?,NUM,0
1425,What letter adorns the flag of Rwanda ?,ENTY,1
1426,"What did 8 , CD NNS VBP TO VB NNP POS NN .",ENTY,1
1427,What is God ?,DESC,1
1428,What country 's northernmost city is Darwin ?,LOC,1
1429,"What sound does Olympia , Washington , overlook ?",LOC,1
1430,What TV show chronicled the lives of Katy Holstrum and Congressman Glen Morley ?,ENTY,1
1431,What Kentucky city calls itself The Horse Center of America ?,LOC,1
1432,How many penny-farthings are there on a Trivial Pursuit game board ?,NUM,0
1433,What 's the most abundant element in the sun ?,ENTY,1
1434,"What European country boasts the city of Furth , found where the rivers Rednitz and Pegnitz converge ?",LOC,1
1435,What U.S. state is Dixville Notch in ?,LOC,1
1436,"Where was the Cisalpine Republic , 1797-185 , ?",LOC,1
1437,What is the largest shopping mall in the world ?,LOC,1
1438,What is the protagonist 's name in Dostoevski 's `` The Idiot '' ?,HUM,1
1439,What penalty space lies between Baltic Avenue and Reading Railroad on a Monopoly board ?,ENTY,1
1440,What presidential press secretary dismissed Watergate as a third-rate burglary attempt ?,HUM,1
1441,What is a meerkat ?,DESC,1
1442,Who was Jean Nicolet ?,HUM,1
1443,What kind of animal was Winnie the Pooh ?,ENTY,1
